timestamp,inside_temp_c,inside_humidity_pct,inside_dewpoint_c,outside_temp_c,outside_humidity_pct,outside_dewpoint_c,bottle_temp_c,fan_state,extractor_polls_on,intake_polls_on,polls_this_interval
2026-08-20T22:05:49,21.0,86.4,18.6,18.4,70.5,12.9,21.4,cooling,4,2,4
2026-08-20T22:20:51,20.7,89.5,18.9,18.4,67.4,12.2,21.4,dehumidify,3,0,3
2026-08-20T22:35:54,20.7,89.1,18.8,18.3,66.8,12.0,21.3,dehumidify,3,0,3
2026-08-20T22:52:01,20.6,89.8,18.8,18.2,67.1,12.0,21.2,cooling,4,4,4
2026-08-20T23:07:04,20.5,89.6,18.8,18.0,66.8,11.8,21.1,cooling,3,3,3
2026-08-20T23:22:07,20.5,89.8,18.8,17.9,67.5,11.8,21.0,cooling,3,3,3
2026-08-20T23:37:09,20.5,90.0,18.8,17.8,68.3,11.9,20.9,cooling,3,3,3
2026-08-20T23:52:12,20.5,89.9,18.7,17.7,68.6,11.8,20.8,cooling,3,3,3
2026-08-21T00:07:15,20.5,89.7,18.7,17.6,68.0,11.6,20.8,cooling,3,3,3
2026-08-21T00:22:17,20.4,90.3,18.8,17.5,67.3,11.4,20.7,cooling,3,3,3
2026-08-21T00:37:20,20.4,90.6,18.8,17.4,67.6,11.3,20.6,cooling,3,3,3
2026-08-21T00:52:23,20.4,90.8,18.9,17.4,67.6,11.3,20.6,cooling,3,3,3
2026-08-21T01:07:25,20.4,90.9,18.8,17.3,67.4,11.2,20.5,cooling,3,3,3
2026-08-21T01:22:28,20.4,90.8,18.8,17.2,67.3,11.1,20.5,cooling,3,3,3
2026-08-21T01:37:31,20.3,90.8,18.8,17.1,68.9,11.4,20.4,cooling,3,3,3
2026-08-21T01:52:33,20.3,90.8,18.8,17.1,69.3,11.4,20.4,cooling,3,3,3
2026-08-21T02:07:36,20.3,90.9,18.8,17.1,68.9,11.3,20.3,cooling,3,3,3
2026-08-21T02:22:39,20.3,90.8,18.7,17.1,69.6,11.5,20.3,cooling,3,3,3
2026-08-21T02:37:42,20.2,91.0,18.7,17.1,69.3,11.5,20.2,cooling,3,3,3
2026-08-21T02:52:44,20.2,91.0,18.7,17.0,69.5,11.4,20.2,cooling,3,3,3
2026-08-21T03:07:47,20.2,91.1,18.7,17.0,70.4,11.6,20.2,cooling,3,3,3
2026-08-21T03:22:50,20.2,91.2,18.7,16.9,70.7,11.5,20.2,cooling,3,3,3
2026-08-21T03:37:52,20.2,91.1,18.7,16.8,70.4,11.3,20.1,cooling,3,3,3
2026-08-21T03:52:55,20.2,91.2,18.7,16.6,70.2,11.1,20.1,cooling,3,3,3
2026-08-21T04:07:58,20.1,91.0,18.6,16.5,70.4,11.1,20.1,cooling,3,3,3
2026-08-21T04:23:00,20.1,91.1,18.6,16.6,70.0,11.1,20.1,cooling,3,3,3
2026-08-21T04:38:03,20.1,91.0,18.6,16.5,70.3,11.1,20.0,cooling,3,3,3
2026-08-21T04:53:06,20.1,90.9,18.5,16.6,69.4,11.0,20.0,cooling,3,3,3
2026-08-21T05:08:08,20.0,91.1,18.5,16.6,69.8,11.1,19.9,cooling,3,3,3
2026-08-21T05:23:11,20.0,91.1,18.5,16.7,69.1,11.0,19.9,cooling,3,3,3
2026-08-21T05:38:14,20.0,91.0,18.5,16.7,69.5,11.1,19.9,cooling,3,3,3
2026-08-21T05:53:16,20.0,91.1,18.5,16.6,69.6,11.1,19.9,cooling,3,3,3
2026-08-21T06:08:19,19.9,91.0,18.4,16.6,69.3,11.0,19.9,cooling,3,3,3
2026-08-21T06:23:22,19.9,91.1,18.4,16.5,70.2,11.1,19.8,cooling,3,3,3
2026-08-21T06:38:25,19.9,91.2,18.4,16.6,69.1,10.9,19.8,cooling,3,3,3
2026-08-21T06:53:27,19.9,91.1,18.4,16.5,69.5,10.9,19.8,cooling,3,3,3
2026-08-21T07:08:30,19.9,90.6,18.3,16.4,69.5,10.8,19.8,cooling,3,3,3
2026-08-21T07:23:33,19.8,90.6,18.2,16.2,70.6,10.9,19.8,cooling,3,3,3
2026-08-21T07:38:35,19.8,90.4,18.2,16.3,70.7,11.0,19.7,cooling,3,3,3
2026-08-21T07:53:38,19.8,90.3,18.1,16.5,68.9,10.8,19.7,cooling,3,3,3
2026-08-21T08:08:41,19.8,90.8,18.2,16.6,68.6,10.8,19.7,cooling,3,3,3
2026-08-21T08:23:43,19.8,91.0,18.2,16.7,67.5,10.7,19.6,cooling,3,3,3
2026-08-21T08:38:46,19.7,91.2,18.2,16.8,67.0,10.6,19.6,cooling,3,3,3
2026-08-21T08:53:49,19.8,91.6,18.4,17.0,67.0,10.8,19.6,cooling,3,3,3
2026-08-21T09:16:44,19.7,91.8,18.3,17.2,65.8,10.8,19.6,cooling,4,4,4
2026-08-21T09:31:47,19.7,91.9,18.4,17.4,65.5,10.8,19.6,cooling,3,3,3
2026-08-21T09:46:50,19.7,92.1,18.4,17.4,65.9,11.0,19.6,cooling,3,3,3
2026-08-21T10:01:52,19.7,92.2,18.4,17.6,64.6,10.8,19.5,cooling,3,3,3
2026-08-21T10:16:55,19.7,92.4,18.4,17.8,63.3,10.7,19.5,cooling,3,3,3
2026-08-21T10:31:58,19.6,92.6,18.4,18.0,63.3,10.9,19.5,off,0,0,3
2026-08-21T10:47:00,19.7,92.8,18.5,18.5,59.9,10.5,19.5,off,0,0,3
2026-08-21T11:02:03,19.7,92.9,18.5,18.6,57.9,10.2,19.5,off,0,0,3
